Year,Make,Model,Trim,Body,Transmission,Vin,State,Condition,Odometer,Color,Interior,Seller,MMR,SellingPrice,SaleDate
2012,Lincoln,Navigator,Base,SUV,NULL,5lmjj2j57cel00156,CA,44,12897,Black,Black,Ford Motor Credit Company Llc Pd,35100,34000,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,MINI,Cooper,Base,Hatchback,Automatic,wmwsu3c5xct256359,CA,39,18978,Gray,NULL,Bmw Mini Financial Services,14900,15000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Jeep,Grand Cherokee,Laredo,SUV,Automatic,1c4rjeag0cc116413,CA,44,71702,Black,Black,Fiserv/Usb Dealer Services Northstar Exchange,16250,18250,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Lexus,RX 350,Base,SUV,Automatic,2t2zk1ba5cc069236,CA,42,35965,Gray,Gray,Lease Remarketing Services Inc,27400,27500,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2012,MINI,Cooper,Base,Hatchback,Manual,wmwsu3c51ct184970,CA,38,32427,Red,Black,Bmw Mini Financial Services,13800,13750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Jeep,Wrangler,Unlimited Sport,SUV,Automatic,1c4bjwdg4cl192882,CA,33,58226,White,Black,The Hertz Corporation,23100,21800,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
2012,Lexus,IS 250,Base,Sedan,Automatic,jthbf5c25c5169633,CA,22,49618,Gray,Black,Lexus Financial Services,21300,18800,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2012,Jaguar,XJ,Base,Sedan,Automatic,sajwa1cb8clv28495,CA,42,10743,Silver,Black,Desert Auto Trade,41000,40750,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,MINI,Cooper,Base,Hatchback,Automatic,wmwsu3c55ct256804,CA,39,26366,White,NULL,Bmw Mini Financial Services,14300,14000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Jaguar,XK,XKR,Convertible,Automatic,sajwa4ec0cmb46109,CA,38,14806,Gray,Black,Jpmorgan Chase Bank N.A.,53800,53500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Infiniti,G Sedan,G37x,G Sedan,Automatic,jn1cv6ar1cm673846,CA,29,54252,Gray,Black,The Hertz Corporation,17800,17300,Thu Feb 19 2015 11:30:00 GMT-0800 (PST)
2012,Infiniti,G Sedan,G37 Journey,G Sedan,Automatic,jn1cv6ap8cm620642,CA,34,33849,Black,Black,Nissan Infiniti Lt,21300,20000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,MINI,Cooper Clubman,S,Hatchback,Automatic,wmwzg3c51cty37657,CA,33,32407,Blue,NULL,Bmw Mini Financial Services,16950,19000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Mercedes-Benz,C-Class,C250 Sport,Sedan,Automatic,wddgf4hb2ca657803,CA,38,48020,White,Beige,Elad Motors,20300,20250,Tue Dec 30 2014 00:00:00 GMT-0800 (PST)
2012,Infiniti,G Sedan,G37 Journey,G Sedan,Automatic,jn1cv6ap4cm622002,CA,24,40700,Black,Black,Nissan Infiniti Lt,21100,20750,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Infiniti,M,M35h,Sedan,Automatic,jn1ey1ap8cm910589,CA,44,45538,White,Gray,Nissan Infiniti Lt,24700,29250,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,Jaguar,XK,Base,Coupe,Automatic,sajwa4fb2clb47841,CA,21,9708,Black,Black,Jpmorgan Chase Bank N.A.,48500,43200,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Mercedes-Benz,E-Class,E350,Convertible,Automatic,wddkk5kf8cf165819,CA,35,43642,White,Black,The Hertz Corporation,30000,27900,Wed Jan 07 2015 12:30:00 GMT-0800 (PST)
2012,Infiniti,G Sedan,G37 Journey,G Sedan,Manual,jn1cv6ap2cm627697,CA,35,25896,Black,Black,Nissan Infiniti Lt,22000,25250,Tue Jan 06 2015 04:30:00 GMT-0800 (PST)
2012,MINI,Cooper,Base,Hatchback,Manual,wmwsu3c53ct185814,CA,38,34689,Red,NULL,Bmw Mini Financial Services,12800,11700,Tue Jan 27 2015 04:30:00 GMT-0800 (PST)
2012,Mercedes-Benz,C-Class,C250 Sport,Sedan,Automatic,wddgf4hbxcr216065,CA,28,9628,Silver,Black,Mercedes-Benz Financial Services,23800,22500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,MINI,Cooper,S,Hatchback,Automatic,wmwsv3c52ct385841,CA,35,39614,Blue,NULL,Bmw Mini Financial Services,15500,16250,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Infiniti,G Sedan,G37 Journey,G Sedan,Automatic,jn1cv6ap4cm931985,CA,38,19479,Black,Gray,Nissan Infiniti Lt,22900,21250,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Infiniti,M,M37,Sedan,Automatic,jn1by1ap5cm332129,CA,45,26668,Gray,Black,Nissan Infiniti Lt,28200,27250,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Jaguar,XF,Portfolio,Sedan,Automatic,sajwa0hb0cls24919,CA,39,37908,Black,Brown,Jpmorgan Chase Bank N.A.,29900,30500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Infiniti,M,M37,Sedan,Automatic,jn1by1ap1cm332208,CA,41,42871,NULL,Beige,Nissan Infiniti Lt,25600,24000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Mazda,CX-9,Touring,SUV,Automatic,jm3tb3cvxc0358928,CA,42,21215,Black,Black,Jpmorgan Chase Bank N.A.,22000,23750,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Infiniti,M,M37,Sedan,Automatic,jn1by1ap7cm333976,CA,42,31762,NULL,Black,Nissan Infiniti Lt,26600,26500,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,Kia,Sportage,EX,SUV,Automatic,kndpc3a25c7335550,CA,41,28510,Black,Gray,Remarketing By Ge/Manheim Southern California,16700,13700,Fri Dec 26 2014 15:00:00 GMT-0800 (PST)
2012,Mercedes-Benz,E-Class,E350,Coupe,Automatic,wddkj5kb7cf139695,CA,4,28993,White,Gray,Mercedes-Benz Usa,29500,25500,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Infiniti,M,M37,Sedan,Automatic,jn1by1ap1cm331995,CA,41,30146,Gray,NULL,Nissan Infiniti Lt,27300,26750,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2012,MINI,Cooper,Base,Hatchback,Manual,wmwsu3c52ct367469,CA,41,17030,White,Black,Bmw Mini Financial Services,15050,14750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,MINI,Cooper,Base,Hatchback,Automatic,wmwsu3c53ct255652,CA,43,18776,Blue,Black,Bmw Mini Financial Services,14900,13500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Mazda,Mazda3,i Sport,Sedan,Automatic,jm1bl1ug0c1554005,CA,43,17925,Gray,Black,Jpmorgan Chase Bank N.A.,10350,13500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Kia,Sorento,LX,SUV,Automatic,5xykt3a64cg309425,CA,48,53444,White,Beige,Kia Motors America Inc,12550,14500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,MINI,Cooper,Base,Hatchback,Automatic,wmwsu3c57ct259784,CA,38,42571,Green,Black,Bmw Mini Financial Services,13000,13500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,MINI,Cooper,Base,Hatchback,Automatic,wmwsu3c52ct261510,CA,44,19915,Blue,NULL,Bmw Mini Financial Services,14800,16000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Mercedes-Benz,C-Class,C250 Sport,Sedan,Automatic,wddgf4hbxca673179,CA,35,33699,White,Black,Mercedes-Benz Financial Services,21700,21250,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Kia,Forte,SX,Sedan,Automatic,knafw4a3xc5550402,CA,2,18518,Black,Black,Remarketing By Ge/Southern California Financial,11650,10250,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2012,Land Rover,Range Rover,HSE,SUV,Automatic,salme1d45ca360653,CA,36,56169,Black,Black,Us Bank,41900,39500,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,Jaguar,XF,Portfolio,Sedan,Automatic,sajwa0hb5cls22759,CA,34,26967,Blue,Brown,Jaguar Land Rover Thousand Oaks,33300,32250,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Infiniti,G Sedan,G37 Journey,G Sedan,Automatic,jn1cv6ap2cm933184,CA,42,22462,Black,Black,Nissan Infiniti Lt,22600,23500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,MINI,Cooper Countryman,S ALL4,Wagon,Automatic,wmwzc5c52cwl56077,CA,36,30311,Green,NULL,Bmw Mini Financial Services,20200,18500,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,Infiniti,G Coupe,G37,G Coupe,Automatic,jn1cv6ek2cm422587,CA,34,37490,White,Gray,Nissan Infiniti Lt,21000,21000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Kia,Sorento,LX,SUV,Automatic,5xykt3a69cg304916,CA,36,32661,Silver,Black,Kia Motors Finance,13950,15200,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2012,MINI,Cooper,S,Convertible,Automatic,wmwzp3c50ct250544,CA,37,26093,Blue,NULL,Bmw Mini Financial Services,17900,18750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Infiniti,G Sedan,G37 Journey,G Sedan,Automatic,jn1cv6ap0cm620196,CA,4,31565,Black,Black,Nissan Infiniti Lt,21600,21750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Kia,Optima,SX,Sedan,Automatic,5xxgr4a62cg078250,CA,37,54430,Gray,Black,Kia Motors Finance,16200,16200,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2012,MINI,Cooper,Base,Hatchback,Automatic,wmwsu3c5xct256149,CA,37,29624,Blue,NULL,Bmw Mini Financial Services,14050,14500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Infiniti,M,M37,Sedan,Automatic,jn1by1ap0cm332278,CA,41,31067,Gray,Black,Nissan Infiniti Lt,27500,26250,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Jeep,Grand Cherokee,Laredo,SUV,Automatic,1c4rjeag5cc212439,CA,39,92610,Silver,Beige,Jpmorgan Chase Bank N.A.,14550,14500,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,MINI,Cooper,S,Hatchback,Manual,wmwsv3c58cty26856,CA,4,25071,Blue,NULL,Bmw Mini Financial Services,16100,16750,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,Jaguar,XF,Base,Sedan,Automatic,sajwa0fb3cls57383,CA,44,22339,White,Beige,High Bid Trading Co Inc,29400,30500,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Kia,Forte,Koup EX,Koup,Automatic,knafu6a20c5640974,CA,38,37022,White,Black,Kia Motors Finance,9750,11500,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2012,Mercedes-Benz,SL-Class,SL550,Convertible,Automatic,wdbsk7baxcf169427,CA,45,19491,Black,Black,Mercedes Benz Of Bakersfield,57400,58750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,MINI,Cooper,Base,Hatchback,Automatic,wmwsu3c54ct258074,CA,36,42890,White,NULL,Bmw Mini Financial Services,12950,13000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Kia,Optima,SX,Sedan,Automatic,5xxgr4a61cg029248,CA,1,47220,Blue,Black,Kia Motors Finance,16750,12900,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2012,MINI,Cooper,Base,Hatchback,Automatic,wmwsu3c55ct261906,CA,46,20149,Green,NULL,Bmw Mini Financial Services,14800,14750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Infiniti,G Sedan,G37 Journey,G Sedan,Automatic,jn1cv6apxcm622361,CA,4,26224,White,Black,Nissan Infiniti Lt,22200,20750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Lexus,RX 350,Base,SUV,Automatic,2t2zk1ba6cc078821,CA,3,36090,Gray,Black,Remarketing By Ge/Chase Lease Remarketing Co,27400,28500,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2012,Infiniti,G Sedan,G37 Journey,G Sedan,Automatic,jn1cv6apxcm624031,CA,44,26640,Black,Black,Nissan Infiniti Lt,22100,22750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Mercedes-Benz,C-Class,C250 Sport,Sedan,Automatic,wddgf4hb8ca631285,CA,35,34046,Silver,Black,Mercedes-Benz Financial Services,21700,21750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Mazda,Mazda6,i Sport,Sedan,Automatic,1yvhz8bh5c5m05184,CA,31,49626,Black,Black,Jpmorgan Chase Bank N.A.,9600,10750,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,MINI,Cooper,Base,Hatchback,Manual,wmwsu3c52ct184718,CA,28,41755,Red,NULL,Bmw Mini Financial Services,13000,12200,Tue Jan 06 2015 04:30:00 GMT-0800 (PST)
2012,Mercedes-Benz,C-Class,C250 Sport,Sedan,Automatic,wddgf4hb8ca613028,CA,29,20015,Black,Black,Mercedes-Benz Financial Services,22900,22000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Infiniti,G Sedan,G37 Journey,G Sedan,Automatic,jn1cv6ap4cm621786,CA,44,52859,Gray,Black,Nissan Infiniti Lt,19250,17500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,MINI,Cooper,Base,Convertible,Automatic,wmwzn3c52ct134090,CA,38,41232,Red,Black,Bmw Mini Financial Services,14600,15250,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Kia,Soul,Base,Wagon,Automatic,kndjt2a50c7391664,CA,34,51141,Green,Black,Kia Motors Finance,8175,9800,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2012,Jaguar,XJ,Base,Sedan,Automatic,sajwa1cb1clv27432,CA,28,27533,Blue,Gray,Jpmorgan Chase Bank N.A.,38500,35500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Mazda,Mazda3,i Sport,Sedan,Automatic,jm1bl1ugxc1528639,CA,37,48544,Gray,Black,Galpin Ford Studio Rentals,8800,11000,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Mercedes-Benz,E-Class,E350 Luxury,Sedan,Automatic,wddhf5kb4ca658244,CA,36,41302,White,Black,Mercedes-Benz Usa,26900,23000,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Infiniti,G Sedan,G37 Journey,G Sedan,Automatic,jn1cv6ap6cm624785,CA,44,49338,White,Gray,Nissan Infiniti Lt,19650,22250,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,MINI,Cooper,Base,Convertible,Automatic,wmwzn3c53ct133983,CA,36,36053,Red,Black,Bmw Mini Financial Services,15000,15000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Mercedes-Benz,E-Class,E350 Luxury,Sedan,Automatic,wddhf5kb5ca575132,CA,41,32178,Black,Black,Mercedes-Benz Financial Services,28500,28500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,MINI,Cooper Coupe,S,Hatchback,Automatic,wmwsx3c51ct154746,CA,46,19781,Gray,NULL,Bmw Mini Financial Services,16100,16500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Mazda,Mazda3,s Touring,Hatchback,Automatic,jm1bl1l60c1505590,CA,24,33113,Gray,Black,Jpmorgan Chase Bank N.A.,12250,14500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Infiniti,G Coupe,G37,G Coupe,Automatic,jn1cv6ek2cm422640,CA,41,49037,Gray,Black,Nissan Infiniti Lt,20100,20750,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2012,Infiniti,G Sedan,G37 Journey,G Sedan,Automatic,jn1cv6ap1cm623267,CA,44,31659,White,Gray,Nissan Infiniti Lt,21600,20750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Jaguar,XJ,Supercharged,Sedan,Automatic,sajwa1ge9cmv34031,CA,38,63818,Black,Black,Jpmorgan Chase Bank N.A.,39900,37000,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,Lexus,RX 350,Base,SUV,Automatic,2t2zk1ba0cc079964,CA,42,33845,Silver,Gray,Desert Auto Trade,27600,29750,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Infiniti,G Coupe,G37,G Coupe,Automatic,jn1cv6ek9cm420190,CA,38,43336,Black,Black,Nissan Infiniti Lt,20600,19500,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2012,Infiniti,M,M37,Sedan,Automatic,jn1by1ap7cm331094,CA,29,47527,Gray,Tan,Myrddin Fleet Services,24800,23750,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Infiniti,G Sedan,G37 Journey,G Sedan,Automatic,jn1cv6ap5cm623000,CA,41,17678,Black,Black,Nissan Infiniti Lt,23100,22000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Kia,Sedona,LX,Minivan,Automatic,kndmg4c78c6477824,CA,3,66523,Gray,Gray,Dtg Operations Inc,9000,9000,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2012,Infiniti,M,M37,Sedan,Automatic,jn1by1ap4cm332641,CA,31,43774,White,Beige,Nissan Infiniti Lt,25400,27000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Mercedes-Benz,E-Class,E350,Convertible,Automatic,wddkk5kf3cf164464,CA,21,29315,Gray,Black,The Hertz Corporation,33800,28500,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
2012,Infiniti,G Sedan,G37 Journey,G Sedan,Automatic,jn1cv6ap0cm627388,CA,35,25586,Black,Black,Nissan Infiniti Lt,22200,22500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Infiniti,G Coupe,G37,G Coupe,Automatic,jn1cv6ek9cm422005,CA,42,44470,Black,Black,Nissan Infiniti Lt,20300,22500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,MINI,Cooper,Base,Hatchback,Manual,wmwsu3c58ct185503,CA,36,79616,Gray,Black,A And A Auto Mart Inc,11400,10250,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Lexus,IS 250,Base,Sedan,Automatic,jthbf5c25c5181152,CA,36,13661,Black,Black,Lexus Financial Services,22800,23000,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2012,MINI,Cooper,Base,Hatchback,Automatic,wmwsu3c5xct255549,CA,43,8536,White,Black,Bmw Mini Financial Services,15700,15500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
